user_reponame,1st_el,2nd_el,3rd_el,h1_ct,h2_ct,h3_ct,toc,images,alt_text_ct,code_blocks,internal_links,external_links,live_link,watchers,contributors,rank,type,type2,word_count,forks,stars,topics,about_text,seo_title,meta_desc,title_text,intro_len,good_intro,primary_lang,yr,mo,wk,has_blog
davidkpiano/azure-ts-node-starter,h1,img,p,7,11,16,0,2,2,17,10,30,0,1,0,1,template,project,4793,1,5,0,A starter template for TypeScript and Node with a detailed README describing how to use the two together.,davidkpiano/azure-ts-node-starter,The main purpose of this repository is to show a good end-to-end project setup and workflow for writing Node code in TypeScript.,TypeScript Node Starter,285,1,TypeScript,8,0,0,1
dejosli/NodeJS-RESTful-API-Boilerplate,h1,p,h2,1,11,12,0,0,0,13,1,47,0,0,1,3,template,project,727,2,5,8,This is a production-ready skeleton for building RESTful APIs in Node.JS using Express and MongoDB.,dejosli/NodeJS-RESTful-API-Boilerplate,"This is a production-ready skeleton for building RESTful APIs in Node.JS using Express and MongoDB. The skeleton has many built-in features, such as ...",NodeJS RESTful API Boilerplate,326,1,JavaScript,4,0,0,0
developit/express-es6-rest-api,h1,p,li,1,3,0,0,0,0,2,0,6,0,65,11,1,template,project,132,542,2500,8,🔋 Starter project for an ES6 RESTful Express API.,-,-,Express & ES6 REST API Boilerplate,82,1,JavaScript,9,0,0,1
dhawansolanki/node-express-boilerplate,h1,p,h2,1,4,2,0,0,0,2,0,0,0,1,1,1,template,project,95,6,8,7,"Node.js Express.js projects effortlessly with feature-packed Express.js boilerplate! Designed for flexibility and efficiency, it includes essential middleware like CORS and body-parser, error handling, logging, and modular routing. Perfect for rapid API development and scalable applications.",dhawansolanki/node-express-boilerplate,A minimalistic Node.js and Express.js boilerplate to kickstart your web development projects. This boilerplate provides a solid foundation with essential ...,Node Express.js Boilerplate,221,1,JavaScript,2,0,0,1
dilagurung/node-sequelize-jwt-mysql,p,h3,p,0,0,2,0,0,0,7,0,3,0,2,1,1,example,project,211,7,14,5,"Comprehensive example for node, mysql and JWT",-,-,-,0,0,JavaScript,9,0,0,0
Dinesh1042/Vanilla-JavaScript-Projects,h1,p,blockquote,1,0,2,1,0,0,0,40,0,1,3,1,1,example,code,161,17,59,6,This repository contains only vanilla JavaScript Projects,Dinesh1042/Vanilla-JavaScript-Projects,This repository contains only vanilla JavaScript Projects. The Project List. Report if there is any bug in these projects.,Vanilla JavaScript Projects,0,0,JavaScript,5,0,0,0
doingmathwithpython/code,h1,p,h1,3,0,0,0,0,0,0,7,2,1,7,3,1,educational,code,111,67,111,5,Chapter programs/snippets and Solutions to Challenges,-,-,Doing Math with Python,254,1,Jupyter Notebook,4,0,0,2
dotnet-architecture/eShopOnWeb,h1,blockquote,blockquote,1,8,3,0,2,1,10,3,14,0,480,74,2,template,project,1248,5949,10640,17,"Sample ASP.NET Core 8.0 reference application, now community supported: https://github.com/NimblePros/eShopOnWeb",Microsoft eShopOnWeb ASP.NET Core Reference ...,"Jan 13, 2025 — Sample ASP.NET Core reference application, powered by Microsoft, demonstrating a single-process (monolithic) application architecture and deployment model.",Microsoft eShopOnWeb ASP.NET Core Reference Application,0,0,C#,1,0,0,0
dotnet/aspnetcore,h1,p,h2,1,6,0,0,0,0,0,6,32,1,1413,1355,1,example,project,586,10618,37782,4,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",aspnetboilerplate/aspnet-core-template: ASP.NET Core & ...,This template is a simple startup project to start with ABP using ASP.NET Core and EntityFramework Core. Prerequirements. Visual Studio 2017 .NET Core SDK ...,ASP.NET Core,629,1,C#,0,0,1,1
drivendataorg/cookiecutter-data-science,h1,p,p,1,5,3,0,0,0,7,0,4,1,115,61,2,template,project,654,2630,9744,6,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.",drivendataorg/cookiecutter-data-science,Cookiecutter Data Science (CCDS) is a tool for setting up a data science project template that incorporates best practices.,Cookiecutter Data Science,106,1,Python,0,8,0,1
dukkk3/react-rest-api-typescript-boilerplate,h1,p,p,1,4,14,0,0,0,0,0,1,0,1,1,1,template,project,348,3,23,10,"React REST API project structure template using TypeScript, MobX, and Styled-Components",dukkk3/react-rest-api-typescript-boilerplate,"React REST API project structure template using TypeScript, MobX, and Styled-Components - dukkk3/react-rest-api-typescript-boilerplate.",react-rest-api-typescript-boilerplate,12,1,TypeScript,4,0,0,0
dzharii/awesome-typescript,h1,h2,details,5,16,40,1,0,0,0,0,100,0,83,197,1,example,resources,5290,476,5092,0,A collection of awesome TypeScript resources for client-side and server-side development. Write your awesome JavaScript in TypeScript,dzharii/awesome-typescript: A collection of ...,"Feb 11, 2026 — A collection of awesome TypeScript resources for client-side and server-side development. Write your awesome JavaScript in TypeScript.",Awesome TypeScript,0,0,Markdown,0,1,0,0
edeno/package_template,h1,p,h3,1,0,3,0,0,0,4,0,0,0,0,1,1,template,project,73,1,1,0,Python template for data analysis packages,Python template for data analysis packages,Python template for data analysis packages. Contribute to edeno/package_template development by creating an account on GitHub.,Package Name,0,0,Python,2,0,0,2
edwinhern/express-typescript,h1,pre,h2,1,6,2,0,0,0,2,0,1,0,7,10,2,template,project,543,234,1215,11,Express + TypeScript starter template ,edwinhern/express-typescript,Welcome to Express TypeScript Boilerplate 2025 – a simple and ready-to-use starting point for building backend web services with Express.js and TypeScript.,Express TypeScript Boilerplate 2025,0,0,TypeScript,0,0,1,0
Envek/aws-sam-typescript-layers-example,h1,p,li,1,8,2,0,0,0,14,1,20,1,5,4,3,example,project,1877,56,244,8,"Example project for developing AWS Lambda functions on TypeScript with all goodies: local development, tests, debugging, shared layers (3rd party and your own), and deploy.",-,-,aws-sam-typescript-layers-example,189,1,TypeScript,3,0,0,0
ErickWendel/fullstack-vanilla-javaScript-fem-template,h1,h2,pre,2,3,2,0,0,0,1,0,1,0,2,1,1,template,project,292,31,42,0,Fullstack Vanilla JavaScript - Frontend Masters - Starter project,-,-,Fullstack-vanilla-javaScript-fem,0,0,JavaScript,2,0,0,1
fabric-testbed/jupyter-examples,h1,p,h2,1,6,0,0,0,0,1,2,4,0,11,29,1,template,project,367,24,12,1,Templates for Jupyter notebooks,-,-,Jupyter Examples for Fabric Testbed,199,1,Jupyter Notebook,0,0,1,1
FactoryTalk-Optix/NetLogic_CheatSheet,h1,p,h2,1,3,11,0,0,0,0,47,3,0,8,0,1,educational,code,654,11,81,12,Collection of C# snippets ready for copy paste,FactoryTalk-Optix/NetLogic_CheatSheet: Collection of C# ...,Collection of C# snippets ready for copy paste. Contribute to FactoryTalk-Optix/NetLogic_CheatSheet development by creating an account on GitHub.,FT Optix cheat sheet,0,0,Markdown,0,0,1,0
filoscoder/tenstack-starter,h2,h1,p,4,7,0,0,3,1,6,15,9,1,1,2,2,template,project,353,13,33,8,Typescript + Express + Node starter kit for REST API server apps,-,-,Star History,0,0,TypeScript,0,8,0,0
finos/jupyterlab_templates,h2,h3,p,0,5,4,0,2,1,4,5,3,0,13,19,3,template,project,327,70,414,7,Support for jupyter notebook templates in jupyterlab,-,-,Install,0,0,Python,0,0,1,1
flemingvincent/expo-supabase-starter,h1,h2,p,1,4,0,0,0,0,5,1,2,0,6,6,2,template,project,307,181,775,5,A comprehensive starter project for developing React Native and Expo applications with Supabase as the backend.,-,-,Expo Supabase Starter,137,1,TypeScript,0,4,0,0
FlorianRappl/typescript-fullstack-sample,h1,h2,p,1,4,0,0,0,0,0,0,1,0,1,1,1,template,project,178,5,14,7,A sample repository to demonstrate creating a full stack web app using TypeScript with Node.js and React.,FlorianRappl/typescript-fullstack-sample,A sample project to demonstrate creating a full stack web app using TypeScript with Node.js and React.,typescript-fullstack-sample,102,1,TypeScript,4,0,0,1
foyzulkarim/rbac-react-redux-aspnetcore,h1,h2,p,1,3,2,0,2,2,7,0,5,0,3,1,3,template,project,370,18,72,18,A starter template for creating JWT token from ASP.NET Core API project and applying that JWT token authentication on React application,-,-,Welcome to RBAC-React-Redux-ASPNETCore repository !,409,1,C#,6,0,0,0
FredHutch/python-analysis-template,h1,p,p,2,2,0,0,0,0,2,2,8,0,1,3,1,template,project,878,0,1,0,-,FredHutch/python-analysis-template,"With this template, you can choose between building your data analysis project in an interactive Jupyter notebook, or in a python script to be run on the ...",Data Analysis Template Usage,460,1,Jupyter Notebook,7,0,0,1
frootlab/rian,h1,p,p,1,5,0,0,2,2,3,1,12,0,3,1,3,template,project,420,5,2,10,Data Analysis Templating System for enterprise and scientific application,-,-,Vivid Node,260,1,Python,7,0,0,1
ganatan/angular-node-java-ai,h1,h2,li,1,14,10,1,2,2,9,0,4,1,31,2,2,template,project,481,383,819,18,"Angular 20 Starter with Node.js, Spring Boot, and AI (LLM, Voice, Podcast).",-,-,"Application Fullstack : Angular 20, Node.js et Java 21",0,0,JavaScript,0,3,0,1
Gaweph/p5-typescript-starter,h1,p,h2,1,4,4,1,1,1,8,1,5,0,8,5,3,example,project,335,175,357,4,Base starter project using p5js and typescript,-,-,P5 TypeScript Starter,0,0,TypeScript,4,0,0,0
GeekyAnts/express-typescript,pre,img,p,6,1,7,1,8,8,6,0,20,1,18,6,2,template,project,985,326,1300,14,Express + TypeScript + Boilerplate for Web / API App,GitHub - GeekyAnts/express-typescript,"A boilerplate for Node.js App. This boilerplate is built using Express.js web framework, and is using Typescript Lang for writing the app's logic.",-,0,0,TypeScript,0,1,0,1
Genez-io/mern-typescript-starter,h1,p,p,2,4,0,0,2,2,0,0,12,0,4,1,1,template,project,380,0,2,0,-,Genez-io/mern-typescript-starter,This is a starter template for building a full-stack web application with Express Typescript and MongoDB on the backend and React on the frontend.,MERN Typescript Getting Started,263,1,TypeScript,1,0,0,1
georgekhananaev/excel-ai-assistant,h1,p,img,1,11,12,0,5,5,6,2,3,0,1,2,3,example,project,1204,10,61,4,"A Python desktop application that enhances Excel and CSV files using AI transformations. Features dual AI backends (OpenAI API and local Ollama models), customizable prompt templates, batch processing, and an intuitive interface. Perfect for data cleaning, formatting, and analysis tasks with the power of large language models.",-,-,Excel AI Assistant,146,1,Python,0,10,0,0
GetStream/node-express-mongo-api,p,-,-,0,0,0,0,0,0,0,0,0,1,15,1,1,template,project,8,78,151,8,-,-,-,"Starter project for a REST API with Node.js, Express & MongoDB 🔋",0,0,JavaScript,8,0,0,1
GetStream/node-restify-mongo-api,h1,p,p,1,0,0,0,1,1,0,0,1,0,42,5,1,template,project,25,14,33,0,"Starter project for a REST API with Node.js, Restify & MongoDB 🔋",-,-,"Starter project for a REST API with Node.js, Restify & MongoDB",0,0,JavaScript,8,0,0,1
gitpod-samples/template-jupyter-notebook,h1,p,p,1,1,0,0,1,1,0,0,3,0,3,3,1,template,project,49,3,3,6,-,gitpod-samples/template-jupyter-notebook,This is a Jupyter Notebook template configured for cloud development environments on Gitpod. Read more about how to use Jupyter Notebooks with Gitpod in our ...,Jupyter Notebook Template on Gitpod,92,1,Jupyter Notebook,2,0,0,1
gmarokov/node-fastify-mongo-api,h1,p,img,1,5,0,1,0,0,0,0,1,1,2,2,2,template,project,109,22,104,6,Node.js Restful API starter template,-,-,node-fastify-mongo-api,89,1,TypeScript,2,0,0,1
gmoralesc/node-auth,h1,p,h1,3,3,0,0,0,0,14,0,0,0,0,1,1,example,project,206,5,27,3,Example of Node JS Authentication app with JWT,-,-,Node Auth,0,0,JavaScript,7,0,0,2
gnehcwu/vanilla-js-prototype-starter,h1,p,p,1,0,0,0,0,0,0,0,3,0,1,1,1,template,project,39,0,0,0,A prototype starter template for trying any front-end idea quickly.,gnehcwu/vanilla-js-prototype-starter,"Dec 12, 2024 — This is a project template using vanilla javascript and mock-up font BLOKK, for the ease of quickly experimenting any front end ideas . With.",Vanilla JS prototype starter,137,1,JavaScript,5,0,0,0
gopinav/React-TypeScript-Webpack-Starter,h2,p,h2,0,4,0,0,0,0,0,0,0,0,7,1,1,template,project,22,166,206,0,A starter template for React projects with TypeScript and Webpack 5 with Fast refresh,-,-,Download the starter kit,0,0,JavaScript,5,0,0,2
gothinkster/vue-realworld-example-app,h2,blockquote,p,0,5,0,0,1,1,3,1,13,0,82,46,1,example,project,460,1305,4074,4,"An exemplary real-world application built with Vue.js, Vuex, axios and different other technologies. This is a good example to discover Vue for beginners.",gothinkster/vue-realworld-example-app: An exemplary real ...,"An exemplary real-world application built with Vue.js, Vuex, axios and different other technologies. This is a good example to discover Vue for beginners.",##New Maintainers wanted## Anyone up for the challenge of maintaining this repo? Reach out on twitter @vilsbole,0,0,JavaScript,5,0,0,0
gouravthakur39/beginners-C-program-examples,p,h1,h2,3,1,0,0,0,0,0,87,3,0,24,87,1,educational,code,571,369,696,11,"Simple, Short and Sweet beginners friendly C language programs ",-,-,Beginners C Program Examples,0,0,C,4,0,0,0
grafana/k6-template-typescript,h1,p,h2,1,3,0,0,2,1,3,2,3,0,145,11,1,template,project,282,70,308,6,Template to use TypeScript with k6,Template to use TypeScript with k6,"To generate a TypeScript project that includes the dependencies and initial configuration, navigate to the template-typescript page and click Use this template.",Template to use TypeScript with k6,0,0,TypeScript,0,1,0,1
graphile/starter,h1,h2,p,1,18,2,1,2,2,8,4,39,1,35,1,1,example,project,2703,228,1800,13,"Opinionated SaaS quick-start with pre-built user account and organization system for full-stack application development in React, Node.js, GraphQL and PostgreSQL. Powered by PostGraphile, TypeScript, Apollo Client, Graphile Worker, Graphile Migrate, GraphQL Code Generator, Ant Design and Next.js",-,-,Graphile Starter,0,0,TypeScript,0,8,0,1
graphql-boilerplates/typescript-graphql-server,h1,p,p,1,4,0,0,2,0,0,2,8,0,12,12,1,template,project,256,109,742,0,"Boilerplate code for scalable, production-ready GraphQL servers written in TypeScript",-,-,GraphQL Server Boilerplates for TypeScript,220,1,TypeScript,2,0,0,0
gunarakulangunaretnam/csharp-snippets,h1,h2,p,2,2,2,0,10,10,0,2,0,0,1,1,2,educational,code,117,0,0,0,A collection of C# sinppets codes and notes.,gunarakulangunaretnam/csharp-snippets: A collection of ...,A collection of C# sinppets codes and notes. Contribute to gunarakulangunaretnam/csharp-snippets development by creating an account on GitHub.,C# Snippets,304,1,C#,2,0,0,0
hagopj13/node-express-boilerplate,h1,img,p,1,18,3,1,0,0,23,2,34,0,100,16,3,template,project,1717,2200,7600,12,"A boilerplate for building production-ready RESTful APIs using Node.js, Express, and Mongoose",hagopj13/node-express-boilerplate ...,"A boilerplate/starter project for quickly building RESTful APIs using Node.js, Express, and Mongoose. By running a single command, you will get a production- ...",RESTful API Node Server Boilerplate,101,1,JavaScript,3,0,0,0
HappyZombies/express-backend-starter,h1,p,h3,1,1,3,0,1,0,0,0,1,0,3,1,1,template,project,519,9,58,0,This backend starter is the Model Service and Controller I prefer to use for Express when creating starting new Node based projects,-,-,Express Backend Starter,206,1,JavaScript,4,0,0,0
Hashir-Akbar/Nodejs-backend-starter-kit,h1,h2,p,1,3,4,0,0,0,1,0,3,0,1,1,1,template,project,210,0,1,0,"Professional starter template for Node.js backends, built to align with enterprise conventions.",Hashir-Akbar/Nodejs-backend-starter-kit,"This repository provides a professional starter kit for backend development using Node.js. It includes a starter folder structure, global configurations for ...",JavaScript Backend Starter Kit,276,1,JavaScript,1,0,0,0
homick/iPhone-Snippets,-,-,-,0,0,0,0,0,0,0,0,0,0,4,1,1,educational,code,0,49,66,0,Snippets of Useful iPhone Objective-C Code,-,-,-,0,0,Objective-C,17,0,0,0
iammukeshm/AdminLTE.StarterKit,h1,h3,p,1,10,2,0,1,1,0,3,12,0,9,1,1,template,project,515,29,85,5,AdminLTE Starter Kit for ASP.NET Core 3.1. Let's build up a full-fledged Open Source Project designed to provide our fellow developers a better way to get started. Saves tons of Dev-Hours too!,-,-,AdminLTE StarterKit for ASP.NET Core 3.1,0,0,JavaScript,6,0,0,1
IBM/template-node-typescript,h1,p,h2,1,4,1,1,1,1,3,0,10,0,10,9,2,template,project,273,42,72,0,Github Template that uses TypeScript with Node.js to create a BFF or Microservice API with Open API Specification,-,-,TypeScript Microservice or Backend for Frontend with Node.js,109,1,TypeScript,3,0,0,1
interleap-team/python-jupyter-template,h1,p,h2,1,4,9,0,0,0,0,0,0,0,1,2,1,educational,project,473,3303,2,0,Python with Jupyter notebook,-,-,Student Guide: Jupyter Notebook Activities and Project,159,1,Jupyter Notebook,1,0,0,0
itsdheerajbudhiraja/express-boilerplate-ts,h1,p,p,1,4,3,0,0,0,9,0,1,0,3,1,2,template,project,780,6,29,20,"Boilerplate for NodeJS Express Projects written in Typescript The purpose of this template repository is to fast track APIs development and reach to production ASAP. At most places except TSOA, there is very less use of external dependency injection or similar libraries to demonstrate how same thing can be achieved in vanilla code",-,-,NodeJS Express Boilerplate,166,1,TypeScript,0,5,0,0
ixartz/Serverless-Boilerplate-Express-TypeScript,h1,p,p,1,3,10,0,17,17,3,1,13,1,6,3,1,template,project,874,88,571,20,"🚀🎉📚 Boilerplate and Starter for Serverless framework, ExpressJS, TypeScript, Prisma and MongoDB ⚡️ Made with developer experience first: Serverless framework + Live reload + Offline support + ExpressJS + TypeScript + ESLint + Prettier + Husky + Commitlint + Lint-Staged + Jest + Dotenv + esbuild + VSCode",-,-,"Serverless Boilerplate with Serverless Framework 3, ExpressJS, TypeScript, Prisma and MongoDB",310,1,TypeScript,0,11,0,1
jadjoubran/web-starter-vanilla,h1,p,p,1,2,0,0,0,0,2,0,1,1,2,1,1,template,project,101,16,28,0,"Web starter using Vanilla JavaScript & CSS for ""Learn JavaScript""",jadjoubran/web-starter-vanilla,"This starter uses native browser modules with script type=""module"" . You can import other files, as long as you the path is correct, starts with a .",Web Starter Vanilla,142,1,JavaScript,0,1,0,1
jakemcdermott/vue-django-rest-auth,h1,p,li,1,0,0,0,0,0,0,2,2,0,10,1,1,example,project,37,35,169,9,An example project featuring Vue.js and Django Rest Framework using django-rest-auth,-,-,Vue.js and django-rest-auth,113,1,JavaScript,5,0,0,0
jamessizeland/python-analytics-template,h1,h2,pre,1,5,6,0,0,0,2,0,8,0,1,1,1,template,project,598,1,0,5,Template data analytics project structure based on cookiecutter datascience,jamessizeland/python-analytics-template,An opinionated Python data focused project template. Project Organization ├── README.md <- The top-level README for developers using this project.,Python Analytics Template,0,0,Jupyter Notebook,3,0,0,1
janishar/data-analytics-project-template,h1,p,h1,4,3,2,0,0,0,2,0,5,0,2,1,1,template,project,346,27,123,16,A python project starter template for data-analytics and data-science. ,janishar/data-analytics-project-template,A project template to quick start data analytics and machine learning task. About The Project It is convenient to adopt a good project structure having support ...,Data Analytics Project Template,0,0,Jupyter Notebook,0,1,0,1
jaredpetersen/nodejs-api-template,h1,p,h2,1,2,0,0,0,0,0,0,0,0,2,1,1,template,project,58,18,25,6,Simple template for creating a Node.js REST API,-,-,Node.js REST API Template,0,0,JavaScript,8,0,0,0
javieraviles/node-typescript-koa-rest,h1,img,p,9,18,12,1,0,0,25,6,18,0,21,8,1,example,project,3623,171,1000,20,"REST API boilerplate using NodeJS and KOA2, typescript. Logging and JWT as middlewares. TypeORM with class-validator, SQL CRUD. Docker included. Swagger docs, actions CI and valuable README",-,-,Node - Koa - Typescript Project,148,1,TypeScript,5,0,0,0
jeiman/nodejs-backend-starter,h1,h2,li,1,2,5,1,0,0,0,0,0,0,1,2,2,template,project,265,5,2,0,Node.js Backend Starter,jeiman/nodejs-backend-starter,How to run · Fork this repository · Ensure node (>8.6) and npm are installed · Run npm install · Run npm test · Run npm start · Hit the server to test health curl ...,Nodejs Backend Starter,0,0,JavaScript,5,0,0,0
JijoCleetus/node-rest-api-starter,h1,h2,p,1,1,0,0,0,0,0,0,0,0,1,1,1,template,project,11,0,0,0,A basic seed project to start with a nodejs rest api,JijoCleetus/node-rest-api-starter,A basic seed project to start with a nodejs rest api - GitHub - JijoCleetus/node-rest-api-starter: A basic seed project to start with a nodejs rest api.,node-rest-api-starter,0,0,JavaScript,6,0,0,0
jmw5598/node-express-jwt-example,h1,p,h3,1,0,3,0,0,0,0,0,1,0,2,1,1,example,project,278,8,19,13,"An example project implementing JWT authentication and role base authorization with Node.js, Express.js, Sequelize, and Sqlite",-,-,Node Express JWT Authentication / Authorization Example,80,1,JavaScript,7,0,0,1
jonashackt/spring-boot-vuejs,h1,blockquote,p,4,23,6,0,24,24,101,44,108,0,60,20,1,template,project,9284,677,2125,18,Example project showing how to build a Spring Boot App providing a GUI with Vue.js,-,-,spring-boot-vuejs,0,0,Vue,0,4,0,2
JoshuaKGoldberg/create-typescript-app,h1,p,img,1,4,0,0,59,59,1,9,61,0,4,47,1,template,project,279,87,1400,7,"Quickstart-friendly TypeScript template with comprehensive, configurable, opinionated tooling. 🎁",JoshuaKGoldberg/create-typescript-app,"Quickstart-friendly TypeScript template with comprehensive, configurable, opinionated tooling. - JoshuaKGoldberg/create-typescript-app.",Create TypeScript App,97,1,TypeScript,0,0,1,1
JoshuaMillerCode/node-backend-starter,h1,p,h1,3,0,0,0,0,0,1,0,0,1,1,1,1,template,project,69,0,2,0,"A lightweight application for generating standard MVC structured NodeJS, Mongoose, & Express backend server.",JoshuaMillerCode/node-backend-starter,"A lightweight application for generating standard MVC structured NodeJS, Mongoose, & Express backend server. www.npmjs.com/package/node-backend-starter.",Node Backend Starter,108,1,JavaScript,2,0,0,0
jpedroschmitz/typescript-nextjs-starter,p,p,p,0,6,10,0,1,1,3,8,13,1,8,17,2,template,project,809,161,1400,6,Non-opinionated TypeScript starter for Next.js 16. All the tools you need to build your next project ⚡️,-,-,-,0,0,TypeScript,0,0,1,0
jsakamoto/CSharpMethodsCodeSnippets,h1,h2,p,1,4,8,1,1,1,9,1,1,1,3,2,1,example,project,622,10,46,4,Code snippets for C# methods.,C# Methods Code Snippets - for Visual Studio,"How to install? Download ""C# Methods Code Snippets"" Visual Studio Extension file (.vsix) from Visual Studio Marketplace, and open it. You can also install via ...",C# Methods Code Snippets - for Visual Studio,87,1,C#,5,0,0,0
jsynowiec/node-typescript-boilerplate,h1,img,p,1,5,7,1,0,0,2,3,18,0,34,5,1,template,project,524,564,2500,20,"Minimalistic project template to jump start a Node.js back-end application in TypeScript. ESLint, Vitest and type definitions included.",jsynowiec/node-typescript-boilerplate,"Minimalistic project template to jump start a Node.js back-end application in TypeScript. ESLint, Vitest and type definitions included.",node-typescript-boilerplate,93,1,TypeScript,0,2,0,0
jupyter-naas/awesome-notebooks,h1,p,h2,2,16,6,0,0,0,3,1000,7,1,45,99,1,template,project,21643,486,2975,12,"[Legacy] Data & AI Notebook templates catalog organized by tools, following the IMO (input, model, output) framework for easy usage and discovery..",jupyter-naas/awesome-notebooks ...,The objective of this repository is to create the largest catalog of production-ready Jupyter Notebooks templates.,Naas Templates,0,0,Jupyter Notebook,2,0,0,2
karanpratapsingh/fullstack-starterkit,h3,p,p,0,0,8,1,3,3,12,3,21,0,36,2,2,template,project,1032,100,1200,5,"GraphQL first full-stack starter kit with Node, React. Powered by TypeScript",-,-,-,0,0,TypeScript,5,0,0,1
keineahnung2345/cpp-code-snippets,h1,p,p,1,0,0,0,0,0,0,0,0,0,1,1,1,educational,code,48,16,73,15,Some useful C++ code snippets,-,-,cpp-code-snippets,132,1,C++,1,0,0,0
KevinDockx/AspNetCore6WebAPIDeepDive,h1,p,p,1,0,0,0,0,0,0,0,0,0,3,1,1,template,project,24,29,46,0,Fully functioning sample and starter files for my ASP.NET Core 6 Web API Deep Dive course,KevinDockx/AspNetCore6WebAPIDeepDive: ...,"This is a very simple ASP.NET Core project demonstrating basic authentication flows such as register, login and logout. To keep things simple we used ASP.",ASP.NET Core 6 Web API Deep Dive,89,1,C#,4,0,0,2
Kilvny/ASP.NET-CORE-WEP-API-Repository-Pattern,h1,p,h1,1,9,2,1,1,1,2,0,1,0,1,1,2,example,project,649,4,12,4,Repository Pattern with Unit of work class starter project files,-,-,Repository Pattern with Unit of Work Starter Guide for ASP.NET Core Web API,350,1,C#,3,0,0,0
kiteco/kite-python-blog-post-code,h1,p,-,1,0,0,0,0,0,0,0,0,0,29,8,1,educational,code,8,160,247,0,Code snippets from Kite blog posts,-,-,kite-blog-post-code,0,0,Jupyter Notebook,7,0,0,0
knaxus/node-api-template,h1,h2,li,1,6,5,1,0,0,0,0,0,0,8,1,1,template,project,343,26,36,11,🚴 A scalable repository structure for Node.js applications,-,-,Scalable API Template for Node.js Applications,0,0,JavaScript,7,0,0,0
KrunalLathiya/ReactReduxAuthentication,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,example,project,0,49,96,0,"React Redux Node MongoDB JWT Authentication Example is the today’s leading topic. We use React and Redux for the frontend, Node.js as a platform, express as a web framework and MongoDB as a NoSQL database. We use JWT authentication where, if the user is logged in then it returns a token and the client saves that token. The client uses that token each time when he tries to access the protected route. So the concept is obvious. Now let us start this small project. This article is not about the beginner’s course.",-,-,-,0,0,JavaScript,8,0,0,1
kucherenko/cli-typescript-starter,h1,p,h2,1,9,8,0,0,0,6,1,13,0,1,2,3,template,project,1127,4,54,9,TypeScript CLI starter kit for Node.js. Optimized for quick setup and development efficiency.,kucherenko/cli-typescript-starter,"An all-inclusive starter kit for crafting command-line interfaces (CLI) using TypeScript, driven by Node.js. This kit is meticulously designed to kick-start ...",CLI TypeScript Starter,351,1,TypeScript,2,0,0,0
kunalkapadia/express-mongoose-es6-rest-api,h1,h2,p,1,12,0,1,6,6,11,1,24,1,111,10,3,template,project,1030,697,2900,15,💥 A boilerplate application for building RESTful APIs Microservice in Node.js using express and mongoose in ES6 with code coverage and JsonWebToken Authentication,-,-,Express & mongoose REST API Boilerplate in ES6 with Code Coverage,0,0,JavaScript,6,0,0,0
kuraydev/react-native-typescript-boilerplate,blockquote,blockquote,blockquote,0,20,27,1,1,1,29,17,2,1,8,1,1,template,project,829,93,439,9,"🚀 All-in-one React Native Typescript Boilerplate, Ready to Start 🥳","All-in-one React Native Typescript Boilerplate, Ready to Start",React Native Typescript Boilerplate is available under the MIT license. See the LICENSE file for more info. About. All-in-one React Native Typescript ...,Table of Contents,0,0,TypeScript,0,0,1,0
kutia-software-company/express-typescript-starter,h3,p,p,0,0,4,0,0,0,0,1,21,0,3,2,1,template,project,204,64,225,18,👍 Build APIs You Won't Hate In Node Js. ✍️ Developed by Gentrit Abazi.,-,-,-,0,0,TypeScript,5,0,0,1
kyhsa93/nestjs-rest-cqrs-example,h1,p,li,1,9,7,0,1,1,13,1,10,0,17,3,2,example,project,1528,159,879,11,"Example for Nest.js, MySQL, Redis, REST api, CQRS, DDD",-,-,Nest CQRS Rest api example,0,0,TypeScript,4,0,0,0
lambda-curry/medusa2-starter,h1,p,h2,1,10,1,1,5,1,6,0,12,1,4,6,2,example,project,620,42,151,2,"A Turborepo monorepo integrating a Medusa2 backend with a Remix frontend, featuring a Coffee Roast themed dynamic storefront. Includes Stripe payment integration, scalability with unlimited products and categories, and a developer-friendly setup using TypeScript and Biome. Ideal for rapidly building scalable e-commerce stores.",-,-,Medusa 2 Starter with Remix Storefront,359,1,TypeScript,0,1,0,1
larswaechter/expressjs-api,h1,p,p,1,6,6,0,0,0,0,0,21,0,4,1,2,example,project,473,26,116,0,An example Node.js REST-API built with TypeScript & Express.js,larswaechter/expressjs-api: An example Node.js REST- ...,This repository is a dummy Node.js REST-API built with TypeScript and Express. You might want to use it as codebase for your own Node project.,expressjs-api,142,1,TypeScript,4,0,0,1
larymak/Python-project-Scripts,h1,h2,h3,1,3,3,1,0,0,0,79,80,0,32,195,1,educational,code,934,1040,1843,11,This repositories contains a list of python scripts projects from beginner level advancing slowly. More code snippets to be added soon. feel free to clone this repo,-,-,Python-project-Scripts,0,0,Jupyter Notebook,0,8,0,2
lawrennd/fynesse_template,h1,p,h2,1,11,13,0,0,0,7,0,0,0,1,2,3,template,project,1538,45,4,0,Principles of data science analysis in python,-,-,Fynesse Template,219,1,Python,0,7,0,1
